model_number,original_model_number,grasp_set,original_model_tags,model_maker,model_text,model_source,model_description,barcode_text,acquisition_method,concave_filled,rotationally_symetric,inner_concavity,recognition_id
18633,9272,,"reusable_bottle,als_object",Stanford,sports water bottle,Household,"white plastic",NaN,3dsom,FALSE,TRUE,FALSE,
18635,9274,,"glass",IKEA,000.919.29,IKEA,"DIOD red glass 8oz",NaN,3dsom,TRUE,TRUE,TRUE,
18637,9276,,"bowl",IKEA,001.324.25,IKEA,"Bowl, 365+ DROM, 11cm",NaN,3dsom,TRUE,TRUE,TRUE,
18638,9277,,"mug",IKEA,001.324.49,IKEA,"Mug, 365+ beige, 10 oz.",NaN,3dsom,TRUE,FALSE,TRUE,
18640,9279,,"bowl",IKEA,001.334.82,IKEA,"Bowl, 365+, dark grey, 13cm dia.",NaN,3dsom,TRUE,TRUE,TRUE,
18641,9280,,"glass",IKEA,100.151.24,IKEA,"glass, SVALKA, 6 pack, 7oz",NaN,3dsom,TRUE,TRUE,TRUE,
18642,9281,,"glass",IKEA,100.302.09,IKEA,"glass, RATTVIK, snaps/liqueur, 2oz",NaN,3dsom,TRUE,TRUE,TRUE,
18644,9283,,"saucer",IKEA,100.919.00-saucer,IKEA,"saucer, black, 18cm dia.",NaN,3dsom,TRUE,TRUE,TRUE,
18645,9284,,"cup",IKEA,100.919.00-cup,IKEA,"cup, black, 17oz",NaN,3dsom,TRUE,FALSE,TRUE,
18646,9285,,"mug",IKEA,100.922.16,IKEA,"Beer mug, MJOD, 20oz",NaN,3dsom,TRUE,FALSE,TRUE,
18647,9286,,"saucer",IKEA,101.236.56-saucer,IKEA,"saucer, teacup, CHARMOR, 15cm sq.",NaN,3dsom,TRUE,TRUE,TRUE,
18648,9287,,"cup",IKEA,101.236.56-cup,IKEA,"teacup, CHARMOR, white, 9oz",NaN,3dsom,TRUE,FALSE,TRUE,
18649,9288,,"mug",IKEA,101.328.92,IKEA,"mug, blue, LJUVLIG, 7oz",NaN,3dsom,TRUE,FALSE,TRUE,
18650,9289,,"bowl",IKEA,200.572.55,IKEA,"Serving bowl, BLANDA BLANK, metal, 20cm dia.",NaN,3dsom,TRUE,TRUE,TRUE,
18652,9291,,"mug",IKEA,200.847.15,IKEA,"mug, 365+, white, 10oz",NaN,3dsom,TRUE,FALSE,TRUE,
18654,9293,,"tumbler",IKEA,300.834.71,IKEA,"Tumbler, white, POKAL, 17oz",NaN,3dsom,TRUE,TRUE,TRUE,
18655,9294,,"glass",IKEA,200.921.07,IKEA,"glass, GODIS, 6 pack, clear, 14oz",NaN,3dsom,TRUE,TRUE,TRUE,
18656,9295,,"glass",IKEA,201.327.78,IKEA,"glass, cocktail, PRALIN, blue",NaN,3dsom,TRUE,TRUE,TRUE,
18657,9296,,"glass",IKEA,301.290.30,IKEA,"glass, UTSOKT, clear with grid pattern, 17oz",NaN,3dsom,TRUE,TRUE,TRUE,
18658,9297,,"mug",IKEA,201.323.68,IKEA,"mug, 365+ DROM, white with texture, 10oz",NaN,3dsom,TRUE,FALSE,TRUE,
18659,9298,,"mug",IKEA,201.324.48,IKEA,"mug, 365+, dark grey, 10oz",NaN,3dsom,TRUE,FALSE,TRUE,
18660,9299,,"saucer",IKEA,201.416.26saucer,IKEA,"saucer, espresso cup, white, EPISTEL, 3.4oz",NaN,3dsom,TRUE,FALSE,TRUE,
18661,9300,,"cup",IKEA,201.416.26cup,IKEA,"cup, espresso, white, EPISTEL, 3.4oz",NaN,3dsom,TRUE,FALSE,TRUE,
18662,9301,,"glass",IKEA,300.151.23,IKEA,"wine glass, SVALKA, 6 pack, clear, 10oz",NaN,3dsom,TRUE,TRUE,TRUE,
18663,9302,,"saucer",IKEA,300.631.28saucer,IKEA,"saucer, espress cup, stainless steel",NaN,3dsom,TRUE,TRUE,TRUE,
18664,9303,,"cup",IKEA,300.63.28cup,IKEA,"cup, espresso, stainless steel",NaN,3dsom,TRUE,FALSE,TRUE,
18665,9306,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"glass",IKEA,000.580.67,IKEA,"glass, wine, RARA, clear, 8oz",NaN,orthographic,FALSE,TRUE,TRUE,
18666,9307,,"glass",IKEA,000.921.13,IKEA,"glass, clear, SKIR, 17oz",NaN,orthographic,FALSE,TRUE,TRUE,
18667,9308,COMBINED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"tumbler",IKEA,001.172.98,IKEA,"tumbler, beige, ALMHULT, 7oz",NaN,orthographic,FALSE,TRUE,TRUE,
18668,9309,COMBINED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"glass",IKEA,001.327.79,IKEA,"glass, green, PRALIN",NaN,orthographic,FALSE,TRUE,TRUE,
18669,9310,,"bowl",IKEA,100.572.51,IKEA,"bowl, glass, clear, BLANDA, 12cm dia.",NaN,orthographic,FALSE,TRUE,TRUE,
18670,9311,,"glass",IKEA,200.580.66,IKEA,"glass, clear, RARA, 5oz",NaN,orthographic,FALSE,TRUE,TRUE,
18671,9312,COMBINED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"glass",IKEA,200.919.28,IKEA,"glass, white, DIOD, 8oz",NaN,orthographic,FALSE,TRUE,TRUE,
18672,9313,,"glass",IKEA,210.327.78,IKEA,"glass, cocktail, PRALIN, blue",NaN,orthographic,FALSE,TRUE,TRUE,
18673,9314,COMBINED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"bowl",IKEA,300.814.67,IKEA,"bowl, metal, BLANDA BLANK, 12cm dia.",NaN,orthographic,FALSE,TRUE,TRUE,
18674,9315,,"glass",IKEA,300.919.23,IKEA,"glass, wine, OPTIMAL, 15oz",NaN,orthographic,FALSE,TRUE,TRUE,
18675,9316,,"bowl",IKEA,301.334.90,IKEA,"bowl",NaN,orthographic,FALSE,TRUE,TRUE,
18676,9317,COMBINED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"glass",IKEA,400.580.65,IKEA,"glass, clear, RARA, 10oz",NaN,orthographic,FALSE,TRUE,TRUE,
18677,9318,,"glass",IKEA,401.376.90,IKEA,"glass, clear, HAJDEBY",NaN,orthographic,FALSE,TRUE,TRUE,
18678,9319,COMBINED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"glass",IKEA,401.431.44,IKEA,"glass, clear, champagne",NaN,orthographic,FALSE,TRUE,TRUE,
18679,9320,COMBINED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"glass",IKEA,463.156.00,IKEA,"glass, clear, brandy, OPTIMAL, 25oz",NaN,orthographic,FALSE,TRUE,TRUE,
18680,9321,,"glass",IKEA,500.151.22,IKEA,"glass, champagne, SVALKA, 6 pack, 5oz",NaN,orthographic,FALSE,TRUE,TRUE,
18681,9322,,"glass",IKEA,500.302.12,IKEA,"glass, wine, RATTVIK",NaN,orthographic,FALSE,TRUE,TRUE,
18682,9323,,"glass",IKEA,500.312.83,IKEA,"glass, clear, RATTVIK, 12oz",NaN,orthographic,FALSE,TRUE,TRUE,
18683,9325,,"glass",IKEA,500.919.41,IKEA,"glass, clear, dessert wine, RARA, 2oz",NaN,orthographic,FALSE,TRUE,TRUE,
18684,9326,COMBINED_MODEL_SET,DEBUG_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"glass",IKEA,501.161.83,IKEA,"glass, clear, wine, 365+ IVRIG, 15oz",NaN,orthographic,FALSE,TRUE,TRUE,
18685,9327,COMBINED_MODEL_SET,MEHMET_MODEL_SET,REDUCED_MODEL_SET,SCHUNK_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"cup",IKEA,501.245.12,IKEA,"cup, plastic, multiple colors, GROSSBY",NaN,orthographic,FALSE,TRUE,TRUE,
18686,9328,,"glass",IKEA,501.330.69,IKEA,"glass, wine, 365+ IVRIG, 16oz",NaN,orthographic,FALSE,TRUE,TRUE,
18687,9329,,"bowl",IKEA,601.349.35,IKEA,"bowl, white, 365+, 16cm dia.",NaN,orthographic,FALSE,TRUE,TRUE,
18688,9330,,"glass",IKEA,700.302.11,IKEA,"glass, clear, wine, RATTVIK, 8oz",NaN,orthographic,FALSE,TRUE,TRUE,
18689,9331,COMBINED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"glass",IKEA,701.330.68,IKEA,"glass, clear, wine, 365+, IVRIG, 9oz",NaN,orthographic,FALSE,TRUE,TRUE,
18690,9332,,"glass",IKEA,763.305.00,IKEA,"glass, clear, cocktail, OPTIMAL, 8oz",NaN,orthographic,FALSE,TRUE,TRUE,
18691,9333,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"bowl",IKEA,800.572.57,IKEA,"bowl, serving, wood, BLANDA MATT, 12cm dia.",NaN,orthographic,FALSE,TRUE,TRUE,
18692,9334,,"glass",IKEA,800.919.49,IKEA,"glass, clear, cocktail, SODA, 5oz",NaN,orthographic,FALSE,TRUE,TRUE,
18693,9335,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SCHUNK_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"glass",IKEA,801.327.80,IKEA,"glass, clear purple, wine, PRALIN",NaN,orthographic,FALSE,TRUE,TRUE,
18694,9336,COMBINED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"bowl,als_object",IKEA,801.334.78,IKEA,"bowl, beige, 365+, 13cm dia.",NaN,orthographic,FALSE,TRUE,TRUE,
18695,9337,,"glass",IKEA,801.348.21,IKEA,"glass, plastic, clear, 4 pack, VAKEN, 17oz",NaN,orthographic,FALSE,TRUE,TRUE,
18696,9338,COMBINED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"bowl",IKEA,801.463.53,IKEA,"bowl, plastic, multiple colors, IDBYN",NaN,orthographic,FALSE,TRUE,TRUE,
18697,9339,COMBINED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"glass",IKEA,901.256.99,IKEA,"glass, clear, wine, 365+ IVRIG, 10oz",NaN,orthographic,FALSE,TRUE,TRUE,
18698,9340,,"glass",IKEA,901.317.04,IKEA,"glass, clear, 6 pack, VANLIG, 7oz",NaN,orthographic,FALSE,TRUE,TRUE,
18699,9341,COMBINED_MODEL_SET,DEBUG_MODEL_SET,REDUCED_MODEL_SET,SCHUNK_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"bowl",IKEA,901.334.73,IKEA,"bowl, beige, 365+, 16cm dia.",NaN,orthographic,FALSE,TRUE,TRUE,
18700,9342,,"glass",IKEA,963.111.00,IKEA,"glass, clear, wine, OPTIMAL, 20oz",NaN,orthographic,FALSE,TRUE,TRUE,
18701,9343,,"saucer",IKEA,301.333.91saucer,IKEA,"saucer, espresso cup, yellow, TRIVSAM, 12cm dia.",NaN,3dsom,TRUE,TRUE,TRUE,
18702,9344,,"cup",IKEA,301.333.91cup,IKEA,"cup, espresso w/saucer, yellow, TRIVSAM, 4.1oz",NaN,3dsom,TRUE,FALSE,TRUE,
18703,9345,,"bowl",IKEA,401.324.52,IKEA,"bowl, white, EPISTEL, 7x5in",NaN,3dsom,TRUE,FALSE,TRUE,
18704,9346,,"cup",IKEA,401.463.45,IKEA,"cup, plastic, large, multiple colors",NaN,3dsom,TRUE,TRUE,TRUE,
18705,9347,,"glass",IKEA,501.161.78,IKEA,"glass, clear plastic, 4 pack, VAKEN, 8oz",NaN,3dsom,TRUE,TRUE,TRUE,
18706,9348,,"bowl",IKEA,600.572.58,IKEA,"bowl, serving, wood, 20cm dia. BLANDA MATT",NaN,3dsom,TRUE,TRUE,TRUE,
18707,9349,PLATE_SET,"plate",IKEA,600.632.97,IKEA,"plate, clear glass, 24.5cm dia.",NaN,3dsom,TRUE,TRUE,TRUE,
18708,9350,,"glass",IKEA,600.817.34,IKEA,"glass, clear, 6 pack, POKAL, 5oz",NaN,3dsom,TRUE,TRUE,TRUE,
18709,9351,,"funnel",IKEA,600.832.62sm,IKEA,"funnel, red, small, set of 2, 3in dia.",NaN,3dsom,TRUE,FALSE,TRUE,
18710,9352,,"funnel",IKEA,600.832.62lrg,IKEA,"funnel, large, plastic, set of 2, 5in dia. red",NaN,3dsom,TRUE,FALSE,TRUE,
18711,9353,,"glass",IKEA,601.317.05,IKEA,"glass, clear, 6 pack VANLIG, 11oz",NaN,3dsom,TRUE,TRUE,TRUE,
18712,9354,,"glass",IKEA,700.580.64,IKEA,"glass, champagne flute, clear, RARA, 7oz",NaN,3dsom,TRUE,TRUE,TRUE,
18713,9355,,"saucer",IKEA,701.323.99saucer,IKEA,"saucer, for coffee cup, white, EPISTEL, 8x6in.",NaN,3dsom,TRUE,FALSE,TRUE,
18714,9356,,"cup",IKEA,701.323.99cup,IKEA,"cup, coffee w/saucer, white, EPISTEL, 10.5",NaN,3dsom,TRUE,FALSE,TRUE,
18715,9357,,"cup",IKEA,701.333.94cup,IKEA,"cup, coffee, yellow, TRIVSAM, 13.5oz",NaN,3dsom,TRUE,FALSE,TRUE,
18716,9358,,"glass",IKEA,800.817.33,IKEA,"glass, clear, POKAL, 12oz",NaN,3dsom,TRUE,TRUE,TRUE,
18717,9359,,"glass",IKEA,800.921.09,IKEA,"glass, clear, 6 pack, GODIS, 7oz",NaN,3dsom,TRUE,TRUE,TRUE,
18718,9360,,"glass",IKEA,800.921.14,IKEA,"glass, champagne flute, clear, SKIR, 7oz",NaN,3dsom,TRUE,TRUE,TRUE,
18719,9361,,"saucer",IKEA,900.444.86saucer,IKEA,"saucer, coffee cup, white, 365+, 15cm dia.",NaN,3dsom,TRUE,TRUE,TRUE,
18720,9362,,"cup",IKEA,900.444.86cup,IKEA,"cup, coffee, white, 365+, 7oz",NaN,3dsom,TRUE,FALSE,TRUE,
18721,9363,PLATE_SET,"plate",IKEA,901.163.79,IKEA,"plate, beige, MOTTO, 24.5cm",NaN,3dsom,TRUE,TRUE,TRUE,
18722,9364,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"container,als_object",IKEA,901.125.07,IKEA,"container, plastic, sandwich, white/red, 24oz",NaN,3dsom,FALSE,FALSE,FALSE,
18723,9365,,"glass",Target,200.03.1152,Target,"glass, clear, polycarbonate, wine",9200031152,3dsom,TRUE,TRUE,TRUE,
18724,9366,,"glass",Target,200.03.1301,Target,"glass, clear, polycarbonate, wine, 8oz",9200031301,3dsom,TRUE,TRUE,TRUE,
18725,9367,,"glass",Target,200.01.3598,Target,"glass, wine, polycarbonate, translucent smoke,",9200013598,3dsom,TRUE,TRUE,TRUE,
18726,9368,,"tumbler",Target,200.01.3345,Target,"Tumbler, polycarbonate, red, large",9200013345,3dsom,TRUE,FALSE,TRUE,
18727,9369,,"tumbler",Target,200.01.3346,Target,"tumbler, polycarbonate, red, small",9200013346,3dsom,TRUE,FALSE,TRUE,
18728,9370,,"bowl",Target,200.01.3477,Target,"bowl, melamine, square, red",9200013477,3dsom,TRUE,FALSE,TRUE,
18729,9371,,"bowl",Target,200.01.0773,Target,"bowl, melamine, bird decal, square",9200010773,3dsom,TRUE,FALSE,TRUE,
18730,9372,,"bowl",Target,200.01.0169,Target,"bowl, melamine, white, 6.25in dia",8931304330,3dsom,TRUE,TRUE,TRUE,
18731,9374,,"bowl",Target,200.01.0422,Target,"bowl, melamine, orange, 6in dia",9200010422,3dsom,TRUE,TRUE,TRUE,
18732,9375,,"bowl",Target,200.01.4266,Target,"bowl, dip, melamine, white, square",9200014266,3dsom,TRUE,FALSE,TRUE,
18733,9376,,"bowl",Target,200.01.0271,Target,"bowl, melamine, orange, square, 5.75in",9200010271,3dsom,TRUE,FALSE,TRUE,
18734,9377,PLATE_SET,"plate",Target,200.01.3463,Target,"plate, salad, melamine, red, 8.5in dia",8931361801,3dsom,TRUE,TRUE,TRUE,
18735,9378,PLATE_SET,"plate",Target,200.01.0168,Target,"plate, dinner, melamine, white, 10.5in dia.",8931304310,3dsom,TRUE,TRUE,TRUE,
18736,9379,,"bowl",Target,200.01.0426-green-large,Target,"bowl, melamine, mixing bowl set(4), large",9200010426,3dsom,TRUE,FALSE,TRUE,
18737,9380,,"bowl",Target,200.01.0426-orange-med,Target,"bowl, melamine, mixing bowl set(4), orange, medium",9200010426,3dsom,TRUE,FALSE,TRUE,
18738,9381,,"bowl",Target,200.01.0426-blue-small,Target,"bowl, melamine, blue, mixing bowl set(4), small",9200010426,3dsom,TRUE,FALSE,TRUE,
18739,9382,,"bowl",Target,200.01.0426-brown-smallest,Target,"bowl, melamine, mixing bowl set(4), brown, smallest",9200010426,3dsom,TRUE,FALSE,TRUE,
18740,9383,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"drill",Black&Decker,9099KCAB,Target,"7.2v Cordless drill",8591106188,3dsom,FALSE,FALSE,FALSE,
18741,9384,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"drill",Black&Decker,GC180AW,Target,"18v cordless drill",8591118241,3dsom,FALSE,FALSE,FALSE,
18742,9385,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"drill",Durabuilt,085.06.0082,Target,"14.4v cordless drill",8454000084,3dsom,FALSE,FALSE,FALSE,
18743,9386,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"pitcher",Brita,Atlantis,Target,"Brita water pitcher w/filter, 6 cup, clear w/white top",6025842412,3dsom,FALSE,FALSE,FALSE,
18744,9387,ACTIVE_GRASPING_MODEL_SET,COMBINED_MODEL_SET,MEHMET_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"can,als_object",Coca-Cola,Coke_classic,Household,"can, coke, 12fl oz.",496340,3dsom,FALSE,TRUE,FALSE,
