grasp_set;original_object_number
ACTIVE_GRASPING_MODEL_SET;9387
COMBINED_MODEL_SET;9306
COMBINED_MODEL_SET;9308
COMBINED_MODEL_SET;9309
COMBINED_MODEL_SET;9312
COMBINED_MODEL_SET;9314
COMBINED_MODEL_SET;9317
COMBINED_MODEL_SET;9319
COMBINED_MODEL_SET;9320
COMBINED_MODEL_SET;9326
COMBINED_MODEL_SET;9327
COMBINED_MODEL_SET;9331
COMBINED_MODEL_SET;9333
COMBINED_MODEL_SET;9335
COMBINED_MODEL_SET;9336
COMBINED_MODEL_SET;9338
COMBINED_MODEL_SET;9339
COMBINED_MODEL_SET;9341
COMBINED_MODEL_SET;9364
COMBINED_MODEL_SET;9383
COMBINED_MODEL_SET;9384
COMBINED_MODEL_SET;9385
COMBINED_MODEL_SET;9386
COMBINED_MODEL_SET;9387
COMBINED_MODEL_SET;9388
COMBINED_MODEL_SET;9389
COMBINED_MODEL_SET;9394
COMBINED_MODEL_SET;9395
COMBINED_MODEL_SET;9397
COMBINED_MODEL_SET;9398
COMBINED_MODEL_SET;9399
COMBINED_MODEL_SET;9400
COMBINED_MODEL_SET;9401
COMBINED_MODEL_SET;9402
COMBINED_MODEL_SET;9403
COMBINED_MODEL_SET;9404
COMBINED_MODEL_SET;9406
COMBINED_MODEL_SET;9407
COMBINED_MODEL_SET;9408
COMBINED_MODEL_SET;9409
COMBINED_MODEL_SET;9410
COMBINED_MODEL_SET;9412
COMBINED_MODEL_SET;9414
COMBINED_MODEL_SET;9415
COMBINED_MODEL_SET;9416
COMBINED_MODEL_SET;9417
COMBINED_MODEL_SET;9418
COMBINED_MODEL_SET;9419
COMBINED_MODEL_SET;9420
COMBINED_MODEL_SET;9421
COMBINED_MODEL_SET;9422
COMBINED_MODEL_SET;9423
COMBINED_MODEL_SET;9424
COMBINED_MODEL_SET;9425
COMBINED_MODEL_SET;9426
COMBINED_MODEL_SET;9427
COMBINED_MODEL_SET;9428
COMBINED_MODEL_SET;9435
COMBINED_MODEL_SET;9436
COMBINED_MODEL_SET;9439
COMBINED_MODEL_SET;9443
COMBINED_MODEL_SET;9445
COMBINED_MODEL_SET;9446
COMBINED_MODEL_SET;9447
COMBINED_MODEL_SET;9448
COMBINED_MODEL_SET;9449
COMBINED_MODEL_SET;9450
COMBINED_MODEL_SET;9453
COMBINED_MODEL_SET;9454
COMBINED_MODEL_SET;9455
COMBINED_MODEL_SET;9456
COMPLEX_MODEL_SET;9364
COMPLEX_MODEL_SET;9383
COMPLEX_MODEL_SET;9384
COMPLEX_MODEL_SET;9385
COMPLEX_MODEL_SET;9386
COMPLEX_MODEL_SET;9388
COMPLEX_MODEL_SET;9394
COMPLEX_MODEL_SET;9395
COMPLEX_MODEL_SET;9397
COMPLEX_MODEL_SET;9398
COMPLEX_MODEL_SET;9399
COMPLEX_MODEL_SET;9400
COMPLEX_MODEL_SET;9401
COMPLEX_MODEL_SET;9402
COMPLEX_MODEL_SET;9403
COMPLEX_MODEL_SET;9404
COMPLEX_MODEL_SET;9406
COMPLEX_MODEL_SET;9407
COMPLEX_MODEL_SET;9408
COMPLEX_MODEL_SET;9412
COMPLEX_MODEL_SET;9414
COMPLEX_MODEL_SET;9415
COMPLEX_MODEL_SET;9416
COMPLEX_MODEL_SET;9417
COMPLEX_MODEL_SET;9418
COMPLEX_MODEL_SET;9419
COMPLEX_MODEL_SET;9420
COMPLEX_MODEL_SET;9421
COMPLEX_MODEL_SET;9422
COMPLEX_MODEL_SET;9423
COMPLEX_MODEL_SET;9424
COMPLEX_MODEL_SET;9425
COMPLEX_MODEL_SET;9426
COMPLEX_MODEL_SET;9427
COMPLEX_MODEL_SET;9435
COMPLEX_MODEL_SET;9439
COMPLEX_MODEL_SET;9443
COMPLEX_MODEL_SET;9449
COMPLEX_MODEL_SET;9453
COMPLEX_MODEL_SET;9454
DEBUG_MODEL_SET;9326
DEBUG_MODEL_SET;9341
DEBUG_MODEL_SET;9444
DEBUG_MODEL_SET;9447
MEHMET_MODEL_SET;9327
MEHMET_MODEL_SET;9387
NATE_MODEL_SET;9457
PLATE_SET;9349
PLATE_SET;9363
PLATE_SET;9377
PLATE_SET;9378
PLATE_SET;9482
REDUCED_MODEL_SET;9306
REDUCED_MODEL_SET;9327
REDUCED_MODEL_SET;9333
REDUCED_MODEL_SET;9335
REDUCED_MODEL_SET;9341
REDUCED_MODEL_SET;9387
REDUCED_MODEL_SET;9389
REDUCED_MODEL_SET;9409
REDUCED_MODEL_SET;9410
REDUCED_MODEL_SET;9428
REDUCED_MODEL_SET;9436
REDUCED_MODEL_SET;9446
REDUCED_MODEL_SET;9447
REDUCED_MODEL_SET;9448
REDUCED_MODEL_SET;9450
REDUCED_MODEL_SET;9455
REDUCED_MODEL_SET;9456
SCHUNK_MODEL_SET;9327
SCHUNK_MODEL_SET;9335
SCHUNK_MODEL_SET;9341
SCHUNK_MODEL_SET;9446
SIM_MODEL_SET;9306
SIM_MODEL_SET;9308
SIM_MODEL_SET;9309
SIM_MODEL_SET;9312
SIM_MODEL_SET;9314
SIM_MODEL_SET;9317
SIM_MODEL_SET;9319
SIM_MODEL_SET;9320
SIM_MODEL_SET;9326
SIM_MODEL_SET;9327
SIM_MODEL_SET;9331
SIM_MODEL_SET;9333
SIM_MODEL_SET;9335
SIM_MODEL_SET;9336
SIM_MODEL_SET;9338
SIM_MODEL_SET;9339
SIM_MODEL_SET;9341
SIM_MODEL_SET;9387
SIM_MODEL_SET;9389
SIM_MODEL_SET;9409
SIM_MODEL_SET;9410
SIM_MODEL_SET;9428
SIM_MODEL_SET;9436
SIM_MODEL_SET;9445
SIM_MODEL_SET;9446
SIM_MODEL_SET;9447
SIM_MODEL_SET;9448
SIM_MODEL_SET;9450
SIM_MODEL_SET;9455
SIM_MODEL_SET;9456
SUSHI_MODEL_SET;9631
SUSHI_MODEL_SET;9632
SUSHI_MODEL_SET;9633
SUSHI_MODEL_SET;9634
SUSHI_MODEL_SET;9635
SUSHI_MODEL_SET;9636
TEST_SET;9309
TEST_SET;9317
TEST_SET;9320
TEST_SET;9327
TEST_SET;9331
TEST_SET;9333
TEST_SET;9338
TEST_SET;9339
TEST_SET;9387
TEST_SET;9388
TEST_SET;9398
TEST_SET;9400
TEST_SET;9401
TEST_SET;9410
TEST_SET;9424
TEST_SET;9426
TEST_SET;9428
TEST_SET;9435
TEST_SET;9446
TEST_SET;9447
TEST_SET;9448
TEST_SET;9456
TRAINING_AND_TEST_SET;9306
TRAINING_AND_TEST_SET;9308
TRAINING_AND_TEST_SET;9309
TRAINING_AND_TEST_SET;9312
TRAINING_AND_TEST_SET;9314
TRAINING_AND_TEST_SET;9317
TRAINING_AND_TEST_SET;9319
TRAINING_AND_TEST_SET;9320
TRAINING_AND_TEST_SET;9326
TRAINING_AND_TEST_SET;9327
TRAINING_AND_TEST_SET;9331
TRAINING_AND_TEST_SET;9333
TRAINING_AND_TEST_SET;9335
TRAINING_AND_TEST_SET;9336
TRAINING_AND_TEST_SET;9338
TRAINING_AND_TEST_SET;9339
TRAINING_AND_TEST_SET;9341
TRAINING_AND_TEST_SET;9387
TRAINING_AND_TEST_SET;9388
TRAINING_AND_TEST_SET;9389
TRAINING_AND_TEST_SET;9394
TRAINING_AND_TEST_SET;9395
TRAINING_AND_TEST_SET;9398
TRAINING_AND_TEST_SET;9399
TRAINING_AND_TEST_SET;9400
TRAINING_AND_TEST_SET;9401
TRAINING_AND_TEST_SET;9403
TRAINING_AND_TEST_SET;9409
TRAINING_AND_TEST_SET;9410
TRAINING_AND_TEST_SET;9424
TRAINING_AND_TEST_SET;9425
TRAINING_AND_TEST_SET;9426
TRAINING_AND_TEST_SET;9428
TRAINING_AND_TEST_SET;9435
TRAINING_AND_TEST_SET;9436
TRAINING_AND_TEST_SET;9445
TRAINING_AND_TEST_SET;9446
TRAINING_AND_TEST_SET;9447
TRAINING_AND_TEST_SET;9448
TRAINING_AND_TEST_SET;9449
TRAINING_AND_TEST_SET;9450
TRAINING_AND_TEST_SET;9453
TRAINING_AND_TEST_SET;9455
TRAINING_AND_TEST_SET;9456
TRAINING_SET;9306
TRAINING_SET;9308
TRAINING_SET;9312
TRAINING_SET;9314
TRAINING_SET;9319
TRAINING_SET;9326
TRAINING_SET;9335
TRAINING_SET;9336
TRAINING_SET;9341
TRAINING_SET;9389
TRAINING_SET;9394
TRAINING_SET;9395
TRAINING_SET;9399
TRAINING_SET;9403
TRAINING_SET;9409
TRAINING_SET;9425
TRAINING_SET;9436
TRAINING_SET;9445
TRAINING_SET;9449
TRAINING_SET;9450
TRAINING_SET;9453
TRAINING_SET;9455
